"shipping_id","order_id","shipping_provider","delay_days"
459,3709,"fedex",5
461,12348,"fedex",5
464,325,"fedex",5
467,19345,"fedex",5
469,7372,"fedex",4
473,443,"fedex",4
476,10262,"fedex",5
480,18545,"fedex",5
481,4731,"fedex",5
486,6423,"fedex",5
488,8936,"fedex",4
489,2139,"fedex",4
491,1723,"fedex",5
502,17162,"fedex",5
504,2493,"fedex",5
507,17442,"fedex",4
515,8084,"fedex",4
516,771,"fedex",5
519,6313,"fedex",4
521,1429,"fedex",5
523,8586,"fedex",4
526,5639,"fedex",5
527,909,"fedex",5
528,5077,"fedex",4
529,13081,"fedex",4
532,19779,"fedex",5
544,19287,"fedex",5
545,17362,"fedex",5
546,761,"fedex",4
547,3191,"fedex",4
548,15185,"fedex",4
549,2433,"fedex",5
551,6433,"fedex",5
552,9874,"fedex",4
554,5667,"fedex",4
557,15483,"fedex",5
558,11828,"fedex",5
560,10716,"fedex",5
564,4151,"fedex",4
568,6311,"fedex",4
569,6569,"fedex",5
578,15728,"fedex",5
580,16650,"fedex",5
585,14225,"fedex",5
588,17967,"fedex",4
590,18145,"fedex",5
592,15105,"fedex",5
593,15952,"fedex",5
594,16556,"fedex",4
595,8864,"fedex",5
596,17094,"fedex",5
597,14961,"fedex",4
599,16646,"fedex",4
601,5163,"fedex",4
603,16008,"fedex",5
605,13939,"fedex",5
614,1241,"fedex",5
616,12870,"fedex",5
618,16422,"fedex",4
619,1043,"fedex",5
627,2011,"fedex",4
628,6909,"fedex",5
629,10970,"fedex",5
637,4601,"fedex",4
639,11428,"fedex",5
640,15976,"fedex",5
644,1171,"fedex",5
645,823,"fedex",5
649,16016,"fedex",4
651,13395,"fedex",5
655,12920,"fedex",5
657,7492,"fedex",4
661,10390,"fedex",4
662,6931,"fedex",4
667,6765,"fedex",5
673,6777,"fedex",4
675,11792,"fedex",4
676,18387,"fedex",5
678,4641,"fedex",5
680,13951,"fedex",5
682,19483,"fedex",5
685,11458,"fedex",5
688,5403,"fedex",4
693,10628,"fedex",4
694,15722,"fedex",5
698,14011,"fedex",4
699,12784,"fedex",4
701,19441,"fedex",5
702,15615,"fedex",5
704,16544,"fedex",4
707,10440,"fedex",4
709,16474,"fedex",5
710,5631,"fedex",5
713,7510,"fedex",4
714,18557,"fedex",4
719,10478,"fedex",4
720,8988,"fedex",5
721,9886,"fedex",4
722,5327,"fedex",4
723,17502,"fedex",4
725,13007,"fedex",4
727,17813,"fedex",5
729,8404,"fedex",5
730,15073,"fedex",5
731,6743,"fedex",4
733,10488,"fedex",4
734,16074,"fedex",5
744,12938,"fedex",5
745,18781,"fedex",5
749,3149,"fedex",4
752,3231,"fedex",5
757,13497,"fedex",5
759,19909,"fedex",4
760,2791,"fedex",5
762,14953,"fedex",5
763,13109,"fedex",5
764,7624,"fedex",5
768,12518,"fedex",5
769,13095,"fedex",5
771,6845,"fedex",5
773,16660,"fedex",4
777,2075,"fedex",4
781,9088,"fedex",5
783,8114,"fedex",5
786,19375,"fedex",5
787,12524,"fedex",4
791,2257,"fedex",4
797,2093,"fedex",4
798,10210,"fedex",4
799,13775,"fedex",4
800,1311,"fedex",4
801,7568,"fedex",5
805,10954,"fedex",5
808,11786,"fedex",4
816,7256,"fedex",4
817,12086,"fedex",5
820,703,"fedex",4
825,9008,"fedex",5
826,4005,"fedex",4
827,18587,"fedex",4
828,9912,"fedex",5
830,12790,"fedex",5
831,5759,"fedex",5
832,353,"fedex",4
833,18409,"fedex",4
836,13755,"fedex",4
837,5723,"fedex",5
838,6994,"fedex",4
840,14031,"fedex",4
841,1375,"fedex",5
842,155,"fedex",4
845,17312,"fedex",5
846,18373,"fedex",4
853,2361,"fedex",4
855,10448,"fedex",5
856,3499,"fedex",5
858,8130,"fedex",4
861,15539,"fedex",5
864,12522,"fedex",4
865,2179,"fedex",5
867,3747,"fedex",4
868,14549,"fedex",4
869,1127,"fedex",4
870,14209,"fedex",5
871,18337,"fedex",4
872,18417,"fedex",5
880,17076,"fedex",4
884,1501,"fedex",4
885,8738,"fedex",5
887,8978,"fedex",5
889,7986,"fedex",4
890,785,"fedex",4
891,18733,"fedex",4
892,17408,"fedex",4
894,12648,"fedex",5
895,14291,"fedex",4
896,4093,"fedex",4
902,16414,"fedex",4
903,7936,"fedex",5
906,5969,"fedex",4
909,9344,"fedex",5
911,17901,"fedex",5
914,2439,"fedex",5
916,18917,"fedex",5
918,3755,"fedex",4
921,16420,"fedex",5
922,14981,"fedex",4
924,5677,"fedex",4
928,9950,"fedex",5
930,13875,"fedex",5
931,6219,"fedex",5
932,3711,"fedex",5
934,9304,"fedex",5
937,17172,"fedex",4
941,16706,"fedex",4
942,12922,"fedex",5
946,4937,"fedex",4
948,4127,"fedex",5
949,7928,"fedex",5
954,8920,"fedex",5
955,147,"fedex",5
956,6727,"fedex",5
961,2659,"fedex",5
963,7072,"fedex",4
964,4391,"fedex",4
968,987,"fedex",4
969,15505,"fedex",4
971,1715,"fedex",4
972,15780,"fedex",4
974,8858,"fedex",4
975,7012,"fedex",4
977,6129,"fedex",4
980,5635,"fedex",4
981,18255,"fedex",4
982,8318,"fedex",4
983,17176,"fedex",5
990,4959,"fedex",5
991,7652,"fedex",5
993,15305,"fedex",5
997,1763,"fedex",5
1002,13263,"fedex",4
1003,6925,"fedex",4
1008,5093,"fedex",4
1011,12840,"fedex",4
1012,1823,"fedex",5
1014,13099,"fedex",4
1016,19161,"fedex",4
1017,15663,"fedex",4
1018,3819,"fedex",5
1019,12974,"fedex",4
1020,7728,"fedex",4
1024,11436,"fedex",4
1025,17084,"fedex",5
1026,7100,"fedex",4
1027,833,"fedex",5
1028,1595,"fedex",5
1032,14169,"fedex",4
1035,8148,"fedex",4
1036,2303,"fedex",5
1038,11246,"fedex",4
1043,14583,"fedex",5
1045,16642,"fedex",4
1046,19509,"fedex",5
1048,1029,"fedex",5
1050,7860,"fedex",4
1051,6967,"fedex",5
1053,15379,"fedex",4
1054,14177,"fedex",4
1061,17392,"fedex",4
1064,7740,"fedex",4
1065,7622,"fedex",5
1066,15621,"fedex",4
1068,269,"fedex",4
1076,9602,"fedex",5
1077,10640,"fedex",4
1078,10916,"fedex",4
1079,9710,"fedex",5
1084,5569,"fedex",4
1085,16874,"fedex",4
1093,17857,"fedex",4
1094,14813,"fedex",5
1095,7984,"fedex",5
1097,13799,"fedex",5
1098,18431,"fedex",4
1099,251,"fedex",4
1100,7596,"fedex",4
1102,4293,"fedex",5
1103,3365,"fedex",4
1105,19105,"fedex",4
1106,6455,"fedex",4
1114,4805,"fedex",5
1115,16618,"fedex",5
1117,16898,"fedex",4
1118,12726,"fedex",4
1119,14999,"fedex",5
1121,10152,"fedex",4
1122,10966,"fedex",4
1123,8284,"fedex",5
1125,14179,"fedex",4
1127,8440,"fedex",4
1133,13727,"fedex",5
1135,7902,"fedex",4
1140,15996,"fedex",4
1141,15517,"fedex",4
1142,13685,"fedex",4
1144,1315,"fedex",4
1145,15309,"fedex",5
1146,11154,"fedex",5
1147,9772,"fedex",5
1149,16974,"fedex",5
1152,9856,"fedex",4
1154,19403,"fedex",5
1155,16190,"fedex",5
1156,5737,"fedex",5
1158,17723,"fedex",4
1160,18425,"fedex",4
1164,261,"fedex",5
1166,16578,"fedex",4
1169,3075,"fedex",5
1170,689,"fedex",5
1175,13063,"fedex",5
1177,17657,"fedex",5
1178,18943,"fedex",4
1182,1173,"fedex",4
1183,5423,"fedex",4
1186,2573,"fedex",5
1188,11124,"fedex",5
1189,1389,"fedex",5
1197,17108,"fedex",5
1199,14597,"fedex",4
1200,12678,"fedex",4
1201,8514,"fedex",4
1206,5201,"fedex",4
1208,9476,"fedex",5
1210,17338,"fedex",5
1213,7698,"fedex",4
1214,8674,"fedex",4
1216,19857,"fedex",5
1217,16492,"fedex",4
1219,11940,"fedex",5
1222,10422,"fedex",4
1224,17989,"fedex",5
1225,5815,"fedex",5
1226,3495,"fedex",5
1229,2891,"fedex",4
1232,12977,"fedex",5
1233,6687,"fedex",5
1234,16548,"fedex",4
1239,4639,"fedex",4
1242,8558,"fedex",4
1243,1491,"fedex",4
1247,15577,"fedex",5
1250,16786,"fedex",4
1252,393,"fedex",4
1253,15567,"fedex",5
1254,19379,"fedex",4
1257,7840,"fedex",4
1263,2525,"fedex",4
1267,3725,"fedex",5
1269,743,"fedex",5
1270,15740,"fedex",4
1273,523,"fedex",4
1275,15093,"fedex",4
1278,8162,"fedex",4
1282,13213,"fedex",5
1283,2579,"fedex",4
1285,7498,"fedex",5
1288,10778,"fedex",5
1293,1987,"fedex",5
1295,3945,"fedex",4
1298,21550,"fedex",4
1302,3165,"fedex",4
1304,13640,"fedex",4
1306,10955,"fedex",5
1307,17535,"fedex",4
1314,18112,"fedex",5
1316,6620,"fedex",4
1317,5253,"fedex",5
1323,3121,"fedex",4
1324,13119,"fedex",4
1331,11689,"fedex",5
1334,20658,"fedex",4
1338,2315,"fedex",4
1353,2498,"fedex",4
1356,12307,"fedex",4
1359,8664,"fedex",4
1361,18244,"fedex",4
1363,10835,"fedex",5
1365,15377,"fedex",4
1371,11562,"fedex",4
1372,5533,"fedex",4
1373,9387,"fedex",4
1374,10480,"fedex",4
1378,2725,"fedex",5
1380,17779,"fedex",4
1384,21411,"fedex",5
1386,21484,"fedex",4
1389,7140,"fedex",4
1390,5974,"fedex",4
1391,16732,"fedex",5
1394,15687,"fedex",4
1395,1317,"fedex",5
1396,16489,"fedex",4
1400,6566,"fedex",4
1402,10008,"fedex",4
1404,8536,"fedex",5
1406,3380,"fedex",4
1410,5645,"fedex",4
1411,5375,"fedex",5
1412,17319,"fedex",5
1413,3546,"fedex",4
1415,17203,"fedex",5
1418,3243,"fedex",5
1419,1797,"fedex",5
1420,2509,"fedex",5
1424,5806,"fedex",5
1425,20834,"fedex",5
1429,17478,"fedex",4
1430,18270,"fedex",4
1433,1126,"fedex",5
1434,17990,"fedex",4
1437,11727,"fedex",5
1438,18272,"fedex",4
1441,13157,"fedex",4
1451,14591,"fedex",5
1452,594,"fedex",5
1455,13189,"fedex",5
1459,20109,"fedex",4
1460,18606,"fedex",5
1461,7725,"fedex",4
1462,20470,"fedex",5
1472,3617,"fedex",5
1479,10118,"fedex",5
1484,12486,"fedex",4
1485,5509,"fedex",4
1487,802,"fedex",5
1491,21180,"fedex",5
1498,17246,"fedex",4
1500,10546,"fedex",4
1501,14056,"fedex",4
1504,20646,"fedex",5
1506,16457,"fedex",4
1509,6329,"fedex",5
1510,20542,"fedex",5
1511,5697,"fedex",5
1512,6904,"fedex",5
1521,15940,"fedex",5
1526,12325,"fedex",5
1527,15743,"fedex",5
1530,11097,"fedex",5
1535,18725,"fedex",4
1538,9120,"fedex",5
1543,15122,"fedex",5
1547,20812,"fedex",5
1548,17867,"fedex",4
1550,9404,"fedex",5
1555,7837,"fedex",5
1556,15611,"fedex",4
1557,2345,"fedex",4
1560,4096,"fedex",4
1562,15511,"fedex",4
1568,17695,"fedex",4
1569,17277,"fedex",4
1571,11083,"fedex",4
1572,20348,"fedex",5
1576,16486,"fedex",5
1578,10822,"fedex",5
1581,2054,"fedex",5
1582,4991,"fedex",5
1583,14501,"fedex",5
1584,7332,"fedex",5
1588,7610,"fedex",4
1590,11832,"fedex",4
1591,4930,"fedex",5
1592,8459,"fedex",4
1595,21413,"fedex",4
1596,21370,"fedex",4
1597,21299,"fedex",4
1599,1034,"fedex",4
1605,9269,"fedex",4
1608,3118,"fedex",4
1612,8010,"fedex",4
1617,20031,"fedex",5
1618,18658,"fedex",4
1620,836,"fedex",4
1622,17963,"fedex",5
1623,6793,"fedex",4
1624,9579,"fedex",4
1625,16456,"fedex",5
1628,6990,"fedex",5
1632,2920,"fedex",4
1637,4210,"fedex",4
1641,8809,"fedex",4
1642,3689,"fedex",5
1646,9191,"fedex",5
1648,13778,"fedex",4
1649,14664,"fedex",5
1653,7782,"fedex",4
1657,4105,"fedex",4
1659,11098,"fedex",5
1661,69,"fedex",4
1667,15837,"fedex",4
1668,16923,"fedex",5
1669,16772,"fedex",5
1670,20686,"fedex",5
1673,16266,"fedex",4
1674,13618,"fedex",4
1675,11841,"fedex",4
1676,12934,"fedex",5
1679,2490,"fedex",4
1681,7092,"fedex",5
1684,4964,"fedex",5
1686,4013,"fedex",5
1688,4927,"fedex",4
1691,11378,"fedex",5
1694,21238,"fedex",5
1698,21208,"fedex",5
1707,1262,"fedex",5
1714,10195,"fedex",5
1715,2886,"fedex",5
1716,19454,"fedex",5
1721,18701,"fedex",4
1722,19017,"fedex",5
1723,2760,"fedex",4
1724,8327,"fedex",5
1725,12245,"fedex",5
1727,19720,"fedex",5
1728,16015,"fedex",4
1729,11376,"fedex",5
1730,14300,"fedex",4
1737,17896,"fedex",5
1738,15370,"fedex",4
1742,8624,"fedex",5
1744,19329,"fedex",5
1752,13824,"fedex",5
1754,20178,"fedex",4
1764,16085,"fedex",4
1769,18174,"fedex",5
1774,19610,"fedex",4
1777,11081,"fedex",5
1780,49,"fedex",5
1782,12320,"fedex",4
1788,388,"fedex",5
1789,4319,"fedex",5
1793,19785,"fedex",5
1795,21047,"fedex",5
1800,18012,"fedex",4
1802,19284,"fedex",5
1804,1635,"fedex",5
1805,8304,"fedex",4
1810,19416,"fedex",4
1816,18401,"fedex",4
1818,2334,"fedex",4
1820,9028,"fedex",4
1823,9160,"fedex",4
1825,12672,"fedex",4
1826,12415,"fedex",5
1828,13412,"fedex",5
1829,4247,"fedex",4
1830,10783,"fedex",5
1832,2482,"fedex",5
1837,16270,"fedex",4
1842,8778,"fedex",4
1844,9265,"fedex",4
1845,8829,"fedex",5
1849,12130,"fedex",4
1850,20911,"fedex",4
1851,12715,"fedex",4
1854,17029,"fedex",4
1855,15595,"fedex",5
1856,1182,"fedex",4
1860,16594,"fedex",5
1861,2057,"fedex",4
1862,19747,"fedex",4
1866,21314,"fedex",5
1868,10780,"fedex",5
1871,3426,"fedex",4
1872,18840,"fedex",4
1876,8653,"fedex",4
1878,10749,"fedex",5
1879,19088,"fedex",4
1881,14930,"fedex",5
1888,16567,"fedex",5
1893,13873,"fedex",4
1896,19898,"fedex",5
1898,10973,"fedex",4
1903,12499,"fedex",5
1904,17652,"fedex",4
1905,20600,"fedex",4
1906,5559,"fedex",5
1908,2944,"fedex",5
1911,45,"fedex",5
1913,11613,"fedex",5
1918,19254,"fedex",4
1919,15947,"fedex",5
1920,14569,"fedex",5
1921,6702,"fedex",5
1923,5917,"fedex",5
1928,14979,"fedex",4
1929,11885,"fedex",5
1931,17005,"fedex",4
1934,12209,"fedex",5
1935,3635,"fedex",5
1936,6237,"fedex",4
1941,19378,"fedex",5
1946,4198,"fedex",4
1947,13895,"fedex",5
1949,3498,"fedex",4
1950,3594,"fedex",4
1953,18993,"fedex",5
1956,15978,"fedex",4
1966,9516,"fedex",5
1970,17576,"fedex",4
1973,18260,"fedex",5
1974,1141,"fedex",4
1976,18612,"fedex",4
1977,16813,"fedex",4
1978,15044,"fedex",5
1979,20432,"fedex",4
1981,20877,"fedex",5
1991,262,"fedex",4
1992,6422,"fedex",5
2000,8244,"fedex",5
2002,9448,"fedex",5
2003,17339,"fedex",4
2005,15175,"fedex",4
2006,11873,"fedex",4
2009,16830,"fedex",4
2011,12601,"fedex",4
2016,6976,"fedex",4
2017,16592,"fedex",4
2021,6947,"fedex",4
2022,1672,"fedex",5
2024,8307,"fedex",5
2025,10400,"fedex",5
2031,13168,"fedex",5
2032,14718,"fedex",4
2035,15475,"fedex",5
2036,13378,"fedex",5
2038,14734,"fedex",4
2039,7394,"fedex",4
2041,11926,"fedex",4
2042,19905,"fedex",4
2045,17900,"fedex",5
2046,1576,"fedex",4
2047,8553,"fedex",5
2048,2878,"fedex",4
2055,8250,"fedex",5
2060,14905,"fedex",5
2061,1142,"fedex",5
2063,8874,"fedex",5
2064,9050,"fedex",4
2065,3393,"fedex",5
2066,332,"fedex",5
2067,2392,"fedex",5
2070,3119,"fedex",5
2071,14704,"fedex",5
2074,10053,"fedex",5
2078,14978,"fedex",4
2079,12973,"fedex",5
2080,17698,"fedex",5
2081,17694,"fedex",4
2082,12999,"fedex",5
2085,11540,"fedex",5
2088,7423,"fedex",4
2092,9174,"fedex",4
2093,3751,"fedex",4
2096,15967,"fedex",5
2099,14624,"fedex",5
2100,18306,"fedex",5
2106,5388,"fedex",5
2110,20317,"fedex",4
2114,11139,"fedex",5
2115,13379,"fedex",4
2116,3898,"fedex",5
2120,9147,"fedex",4
2121,15926,"fedex",4
2124,20474,"fedex",4
2126,20198,"fedex",5
2128,19149,"fedex",4
2131,19482,"fedex",5
2132,17443,"fedex",4
2135,12145,"fedex",4
2136,19226,"fedex",4
2137,10641,"fedex",5
2139,14831,"fedex",4
2142,7204,"fedex",4
2143,7958,"fedex",5
2144,9867,"fedex",5
2149,15225,"fedex",4
2154,1266,"fedex",5
2156,1837,"fedex",5
2159,21618,"fedex",5
2161,944,"fedex",5
2163,21172,"fedex",4
2164,4665,"fedex",4
2165,4737,"fedex",5
2167,3779,"fedex",5
2168,20518,"fedex",5
2171,14424,"fedex",4
2173,5549,"fedex",5
2176,13918,"fedex",4
2177,9168,"fedex",5
2179,18279,"fedex",5
2180,18429,"fedex",5
2181,14544,"fedex",5
2182,7318,"fedex",4
2185,6913,"fedex",4
2186,11593,"fedex",5
2187,17404,"fedex",4
2189,2635,"fedex",5
2190,5279,"fedex",5
2191,554,"fedex",4
2194,17924,"fedex",5
2195,8662,"fedex",4
2199,17435,"fedex",4
2200,3562,"fedex",5
2201,15242,"fedex",4
2202,15145,"fedex",5
2207,10855,"fedex",4
2210,11483,"fedex",5
2213,7151,"fedex",4
2214,15151,"fedex",4
2219,19612,"fedex",5
2220,6235,"fedex",4
2221,17208,"fedex",4
2222,7205,"fedex",5
2223,4350,"fedex",5
2225,18679,"fedex",5
2229,3640,"fedex",4
2230,12447,"fedex",4
2231,5946,"fedex",5
2232,5416,"fedex",5
2234,14141,"fedex",4
2241,7440,"fedex",5
2242,16004,"fedex",5
2245,16376,"fedex",5
2247,19169,"fedex",5
2250,17777,"fedex",4
2251,7526,"fedex",5
2253,2245,"fedex",4
2256,21016,"fedex",5
2257,19645,"fedex",5
2258,7733,"fedex",4
2260,13397,"fedex",4
2261,19968,"fedex",5
2262,10251,"fedex",5
2264,7121,"fedex",5
2267,1041,"fedex",4
2269,2016,"fedex",5
2270,16395,"fedex",4
2272,855,"fedex",4
2273,13474,"fedex",4
2275,12101,"fedex",5
2277,16101,"fedex",4
2282,9386,"fedex",4
2285,19572,"fedex",4
2286,3854,"fedex",4
2289,16798,"fedex",5
2290,8161,"fedex",4
2292,7023,"fedex",5
2296,14054,"fedex",5
2298,16561,"fedex",4
2299,4596,"fedex",5
2302,10082,"fedex",4
2303,20341,"fedex",5
2304,1314,"fedex",5
2305,11913,"fedex",5
2307,16092,"fedex",4
2308,19324,"fedex",5
2310,20908,"fedex",5
2314,19694,"fedex",4
2317,19772,"fedex",5
2318,14109,"fedex",4
2326,14993,"fedex",5
2328,20255,"fedex",5
2332,13291,"fedex",4
2334,14063,"fedex",4
2335,5886,"fedex",5
2341,6353,"fedex",4
2342,403,"fedex",5
2345,7859,"fedex",4
2350,2036,"fedex",5
2356,9091,"fedex",4
2358,21300,"fedex",5
2360,10147,"fedex",5
2361,9718,"fedex",5
2362,173,"fedex",4
2365,16465,"fedex",5
2367,19382,"fedex",4
2368,1411,"fedex",4
2370,15987,"fedex",4
2373,12274,"fedex",5
2375,6572,"fedex",5
2377,1578,"fedex",4
2378,13882,"fedex",4
2382,18289,"fedex",5
2387,1027,"fedex",5
2390,15449,"fedex",5
2391,3777,"fedex",5
2392,10794,"fedex",4
2393,11736,"fedex",4
2394,4814,"fedex",4
2398,14516,"fedex",4
2399,18872,"fedex",4
2400,6504,"fedex",4
2401,10986,"fedex",5
2402,17020,"fedex",5
2404,17415,"fedex",4
2406,5512,"fedex",5
2411,307,"fedex",4
2413,346,"fedex",5
2414,9667,"fedex",4
2415,2339,"fedex",4
2419,12032,"fedex",5
2424,2301,"fedex",4
2425,20606,"fedex",4
2429,12171,"fedex",4
2432,14159,"fedex",5
2433,3335,"fedex",4
2435,12335,"fedex",5
2438,19729,"fedex",4
2440,4908,"fedex",5
2447,9699,"fedex",5
2448,7991,"fedex",5
2451,6502,"fedex",5
2452,1518,"fedex",4
2455,1862,"fedex",4
2457,10128,"fedex",4
2462,21101,"fedex",5
2463,21311,"fedex",5
2465,4943,"fedex",4
2469,5458,"fedex",4
2473,18920,"fedex",4
2480,16881,"fedex",4
2481,16148,"fedex",5
2482,18568,"fedex",4
2483,10329,"fedex",4
2484,4206,"fedex",5
2490,5881,"fedex",4
2496,16256,"fedex",4
2497,2908,"fedex",4
2499,9047,"fedex",4
2500,10227,"fedex",5
2506,2401,"fedex",4
2507,16839,"fedex",4
2518,10174,"fedex",5
2520,3349,"fedex",5
2521,178,"fedex",5
2524,3327,"fedex",5
2525,4128,"fedex",5
2526,11796,"fedex",4
2533,11090,"fedex",5
2534,3500,"fedex",5
2535,10322,"fedex",4
2539,16770,"fedex",5
2541,18340,"fedex",5
2545,7302,"fedex",5
2547,1459,"fedex",5
2548,9891,"fedex",5
2553,5983,"fedex",5
2557,7388,"fedex",5
2561,17238,"fedex",4
2564,9175,"fedex",5
2567,4822,"fedex",5
2570,21343,"fedex",4
2571,19629,"fedex",5
2572,7172,"fedex",5
2573,16656,"fedex",5
2578,9787,"fedex",5
2583,15869,"fedex",5
2584,12895,"fedex",5
2585,19790,"fedex",4
2587,8496,"fedex",5
2590,17073,"fedex",5
2591,11211,"fedex",4
2592,11343,"fedex",4
2593,15771,"fedex",4
2595,20314,"fedex",5
2597,9509,"fedex",4
2600,14382,"fedex",4
2601,16523,"fedex",4
2602,456,"fedex",5
2605,18052,"fedex",5
2611,17614,"fedex",4
2612,13130,"fedex",4
2616,12057,"fedex",5
2619,7864,"fedex",5
2622,206,"fedex",4
2630,9037,"fedex",5
2635,5589,"fedex",4
2637,1848,"fedex",5
2640,11645,"fedex",4
2641,11871,"fedex",4
2646,20681,"fedex",4
2647,2979,"fedex",4
2652,15279,"fedex",4
2653,6,"fedex",5
2655,4470,"fedex",4
2657,7458,"fedex",4
2661,9782,"fedex",5
2663,4135,"fedex",5
2664,4039,"fedex",4
2665,21007,"fedex",4
2666,21051,"fedex",4
2670,21115,"fedex",5
2672,5110,"fedex",5
2673,1604,"fedex",5
2674,14899,"fedex",4
2675,2132,"fedex",4
2676,589,"fedex",5
2678,5721,"fedex",5
2679,20369,"fedex",5
2682,19817,"fedex",4
2685,4480,"fedex",5
2695,6069,"fedex",5
2697,10414,"fedex",5
2698,2470,"fedex",5
2701,14475,"fedex",5
2703,17916,"fedex",4
2706,10396,"fedex",4
2707,19566,"fedex",5
2708,4830,"fedex",4
2710,6735,"fedex",5
2712,5021,"fedex",4
2715,9706,"fedex",5
2718,15969,"fedex",4
2719,20072,"fedex",4
2723,16865,"fedex",4
2725,20810,"fedex",5
2726,7216,"fedex",4
2731,6284,"fedex",4
2733,12918,"fedex",5
2736,8574,"fedex",4
2737,14128,"fedex",4
2738,11439,"fedex",5
2740,14396,"fedex",4
2741,13591,"fedex",4
2742,5733,"fedex",4
2743,18294,"fedex",4
2744,12151,"fedex",5
2748,19492,"fedex",4
2750,4508,"fedex",5
2754,8506,"fedex",5
2760,5913,"fedex",4
2761,257,"fedex",5
2765,10638,"fedex",5
2766,13897,"fedex",5
2772,21050,"fedex",4
2775,4734,"fedex",5
2779,2833,"fedex",4
2783,18024,"fedex",4
2786,15689,"fedex",5
2787,17570,"fedex",5
2790,20191,"fedex",4
2794,5254,"fedex",5
2795,10486,"fedex",5
2796,11125,"fedex",4
2799,5418,"fedex",5
2800,17997,"fedex",5
2804,8876,"fedex",5
